Номер,Дата,Модель,Тип,Цена,Цвет,Тип оплаты,Растаможка
1,2024-04-15,BYD e2,Электромобиль,236600000,Серебристый,Полная оплата,С растаможкой
2,2024-08-19,BYD e2,Электромобиль,236600000,Синий,Полная оплата,С растаможкой
3,2024-09-18,BYD Song Plus DM-i 110KM Comfort,Гибрид,367732000,Синий,Полная оплата,С растаможкой
4,2024-01-08,BYD e2,Электромобиль,236600000,Серебристый,Кредит,Без растаможки
5,2024-05-11,BYD Song Plus EV 605KM Flagship,Электромобиль,423400000,Серебристый,Полная оплата,С растаможкой
6,2024-06-17,BYD Song Plus DM-i 110KM Flagship,Гибрид,380850000,Красный,Кредит,С растаможкой
7,2024-10-28,BYD Seagull,Электромобиль,208300000,Красный,Полная оплата,Без растаможки
8,2024-12-14,BYD Seagull,Электромобиль,208300000,Черный,Кредит,Без растаможки
9,2024-07-26,BYD Chazor 55KM Luxe,Гибрид,279400500,Белый,Кредит,Без растаможки
10,2024-04-13,BYD e2,Электромобиль,236600000,Красный,Кредит,Без растаможки
11,2024-12-01,BYD Song Pro DM-i 71KM Flagship,Гибрид,328000000,Черный,Полная оплата,С растаможкой
12,2024-01-06,BYD Han,Электромобиль,613581000,Зеленый,Полная оплата,С растаможкой
13,2024-06-28,BYD Chazor 55KM Luxe,Гибрид,279400500,Красный,Кредит,Без растаможки
14,2024-05-26,BYD Song Plus DM-i 110KM Flagship,Гибрид,380850000,Синий,Полная оплата,Без растаможки
15,2024-06-25,BYD Song Plus EV 605KM Flagship,Электромобиль,423400000,Зеленый,Полная оплата,С растаможкой
16,2024-10-03,BYD Song Plus DM-i 110KM Comfort,Гибрид,367732000,Серебристый,Полная оплата,С растаможкой
17,2024-10-29,BYD Song Pro DM-i 71KM Flagship,Гибрид,328000000,Белый,Полная оплата,С растаможкой
18,2024-11-02,BYD e2,Электромобиль,236600000,Зеленый,Полная оплата,Без растаможки
19,2024-01-22,BYD Chazor 55KM Luxe,Гибрид,279400500,Белый,Кредит,Без растаможки
20,2024-12-25,BYD Seagull,Электромобиль,208300000,Черный,Кредит,С растаможкой
21,2024-02-22,BYD Song Plus DM-i 110KM Comfort,Гибрид,367732000,Белый,Кредит,Без растаможки
22,2024-06-04,BYD Seagull,Электромобиль,208300000,Черный,Кредит,Без растаможки
23,2024-05-08,BYD Yuan Up,Электромобиль,266700000,Серебристый,Кредит,Без растаможки
24,2024-11-05,BYD Yuan Up,Электромобиль,266700000,Синий,Кредит,Без растаможки
25,2024-08-26,BYD Song Plus EV 605KM Flagship,Электромобиль,423400000,Зеленый,Полная оплата,С растаможкой
26,2024-06-11,BYD Seagull,Электромобиль,208300000,Зеленый,Полная оплата,Без растаможки
27,2024-10-23,BYD Yuan Up,Электромобиль,266700000,Красный,Полная оплата,С растаможкой
28,2024-09-19,BYD Seagull,Электромобиль,208300000,Красный,Кредит,С растаможкой
29,2024-09-15,BYD Seagull,Электромобиль,208300000,Черный,Полная оплата,С растаможкой
30,2024-05-18,BYD Yuan Up,Электромобиль,266700000,Синий,Полная оплата,С растаможкой
31,2024-11-25,BYD Seagull,Электромобиль,208300000,Красный,Кредит,Без растаможки
32,2024-02-10,BYD Han,Электромобиль,613581000,Черный,Полная оплата,Без растаможки
33,2024-11-04,BYD Song Plus DM-i 110KM Flagship,Гибрид,380850000,Серебристый,Полная оплата,С растаможкой
34,2024-01-10,BYD Song Pro DM-i 71KM Comfort,Гибрид,319240000,Серебристый,Кредит,Без растаможки
35,2024-09-12,BYD Song Plus DM-i 110KM Comfort,Гибрид,367732000,Черный,Полная оплата,Без растаможки
36,2024-01-01,BYD Seagull,Электромобиль,208300000,Белый,Кредит,С растаможкой
37,2024-08-17,BYD Song Plus EV 605KM Flagship,Электромобиль,423400000,Синий,Кредит,Без растаможки
38,2024-07-22,BYD Chazor 55KM Active,Гибрид,251459100,Зеленый,Кредит,С растаможкой
39,2024-07-10,BYD Song Plus DM-i 110KM Flagship,Гибрид,380850000,Красный,Кредит,С растаможкой
40,2024-07-27,BYD Han,Электромобиль,613581000,Синий,Полная оплата,Без растаможки
41,2024-05-25,BYD Song Plus EV 605KM Flagship,Электромобиль,423400000,Черный,Полная оплата,С растаможкой
42,2024-03-11,BYD Yuan Up,Электромобиль,266700000,Серебристый,Кредит,С растаможкой
43,2024-06-16,BYD Song Plus EV 605KM Flagship,Электромобиль,423400000,Серебристый,Полная оплата,С растаможкой
44,2024-10-14,BYD Han,Электромобиль,613581000,Зеленый,Полная оплата,С растаможкой
45,2024-09-08,BYD e2,Электромобиль,236600000,Черный,Кредит,С растаможкой
46,2024-04-27,BYD Chazor 55KM Luxe,Гибрид,279400500,Зеленый,Кредит,Без растаможки
47,2024-10-15,BYD Chazor 55KM Active,Гибрид,251459100,Красный,Кредит,С растаможкой
48,2024-08-20,BYD Song Plus DM-i 110KM Flagship,Гибрид,380850000,Белый,Кредит,С растаможкой
49,2024-03-20,BYD Song Plus DM-i 110KM Flagship,Гибрид,380850000,Красный,Полная оплата,Без растаможки
50,2024-04-05,BYD Song Plus DM-i 110KM Flagship,Гибрид,380850000,Белый,Кредит,С растаможкой
51,2024-11-18,BYD Song Pro DM-i 71KM Flagship,Гибрид,328000000,Белый,Полная оплата,Без растаможки
52,2024-06-21,BYD Song Plus DM-i 110KM Flagship,Гибрид,380850000,Красный,Полная оплата,С растаможкой
53,2024-11-02,BYD Han,Электромобиль,613581000,Синий,Полная оплата,Без растаможки
54,2024-12-29,BYD e2,Электромобиль,236600000,Синий,Кредит,С растаможкой
55,2024-10-09,BYD Song Plus EV 605KM Flagship,Электромобиль,423400000,Красный,Кредит,С растаможкой
56,2024-04-13,BYD Song Plus DM-i 110KM Comfort,Гибрид,367732000,Зеленый,Полная оплата,С растаможкой
57,2024-10-02,BYD e2,Электромобиль,236600000,Зеленый,Полная оплата,Без растаможки
58,2024-05-22,BYD Han,Электромобиль,613581000,Красный,Кредит,С растаможкой
59,2024-06-20,BYD Song Plus DM-i 110KM Flagship,Гибрид,380850000,Красный,Полная оплата,С растаможкой
60,2024-12-13,BYD Song Plus DM-i 110KM Flagship,Гибрид,380850000,Серебристый,Кредит,Без растаможки
61,2024-10-05,BYD Chazor 55KM Active,Гибрид,251459100,Черный,Полная оплата,Без растаможки
62,2024-02-24,BYD Han,Электромобиль,613581000,Белый,Кредит,С растаможкой
63,2024-03-15,BYD Song Pro DM-i 71KM Flagship,Гибрид,328000000,Синий,Полная оплата,С растаможкой
